,location,long,lat
321,New York NY,-74.0060152,40.7127281
322,United States,-100.445882,39.7837304
323,Williamsville NY,-78.7377258,42.9637836
324,,,
325,,,
326,,,
327,Toronto Ontario,-79.3839347,43.6534817
328,Seattle Washington,-122.330062,47.6038321
329,,,
330,Nationwide,-1.776962348126316,51.5382464
331,Seattle WA,-122.330062,47.6038321
332,,,
333,Austin TX,-97.7436995,30.2711286
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,Dallas TX,-96.7968559,32.7762719
350,Durham NC,-78.9018053,35.996653
351,Santiago de Chile,-70.6504502,-33.4377756
352,New Delhi,77.2090057,28.6138954
353,Sydney Melbourne Australia,144.96215712427693,-37.76982905
354,India,78.6677428,22.3511148
355,India,78.6677428,22.3511148
356,,,
357,Paris France,2.3200410217200766,48.8588897
358,standing watch at Hells Gate,,
359,,,
360,France,1.8883335,46.603354
361,San Diego,-117.1627728,32.7174202
362,,,
363,New York NY,-74.0060152,40.7127281
364,Boulder CO,-105.3632079,40.102555
365,,,
366,San Francisco,-122.419906,37.7790262
367,,,
368,,,
369,,,
370,,,
371,Atlanta GA,-84.3902644,33.7489924
372,,,
373,,,
374,,,
375,El Dorado Hills CA,-121.06431968581433,38.67716825
376,Venice CA,-118.4668875,33.995044
377,,,
378,,,
379,Canada,-107.991707,61.0666922
380,US Europe and the Caribbean,,
381,,,
382,Whittier CA,-118.030839,33.9708782
383,New York NY,-74.0060152,40.7127281
384,LA Atlanta,-75.6779851,38.708725
385,Wall Street,-74.0088308,40.7060194
386,,,
387,Ohio USA,-82.6881395,40.2253569
388,Tweet us localbiznetwork,,
389,Thiruvanathapuramkerala Indi,,
390,Pennsylvania USA,-77.7278831,40.9699889
391,,,
392,,,
393,,,
394,,,
395,Greensboro WinstonSalem,,
396,,,
397,New York,-74.0060152,40.7127281
398,San Francisco CA,-122.419906,37.7790262
399,New York NY,-74.0060152,40.7127281
400,UT 1854795873900569,117.1129986,-0.2862341
401,India,78.6677428,22.3511148
402,,,
403,,,
404,Multiverse,35.4852102,33.8942284
405,,,
406,San Francisco CA,-122.419906,37.7790262
407,New York NY,-74.0060152,40.7127281
408,,,
409,Minneapolis MN,-93.2654692,44.9772995
410,,,
411,Unitech Cyber Park Gurugram,77.0558748369136,28.4428641
412,,,
413,,,
414,,,
415,,,
416,,,
417,Thiruvanathapuramkerala Indi,,
418,California,-118.755997,36.7014631
419,Stayner ON Canada,-80.0904451,44.4194642
420,India,78.6677428,22.3511148
421,Fort Lauderdale FL,-80.1433786,26.1223084
422,Oregon Portland Fleet St,,
423,Ohio via NC TX IL OR WA,,
424,Palm Beach Florida,-80.4494174,26.6279798
425,New York NY,-74.0060152,40.7127281
426,NYC NY,-74.0060152,40.7127281
427,,,
428,New York,-74.0060152,40.7127281
429,,,
430,Minneapolis MN,-93.2654692,44.9772995
431,United States,-100.445882,39.7837304
432,India,78.6677428,22.3511148
433,,,
434,TraditionPort Saint Lucie FL,,
435,,,
436,USA,-100.445882,39.7837304
437,toronto,-79.3839347,43.6534817
438,United States,-100.445882,39.7837304
439,,,
440,,,
441,United States,-100.445882,39.7837304
442,,,
443,,,
444,,,
445,Toronto Ontario,-79.3839347,43.6534817
446,,,
447,Tyler Texas,-95.3010624,32.3512601
448,Platforms 30 Movement 40,,
449,Kentucky USA,-85.1551411,37.5726028
450,Sedar probably,,
451,New York USA,-74.0060152,40.7127281
452,,,
453,,,
454,New York NY,-74.0060152,40.7127281
455,Palm Beach Florida,-80.4494174,26.6279798
456,New York,-74.0060152,40.7127281
457,Cool country devoid of soul,,
458,,,
459,LA Atlanta,-75.6779851,38.708725
460,,,
461,Minneapolis MN,-93.2654692,44.9772995
462,Minneapolis MN,-93.2654692,44.9772995
463,,,
464,India,78.6677428,22.3511148
465,UtopiaDystopia USA,,
466,India,78.6677428,22.3511148
467,World,174.7456809,-36.8535712
468,Bengaluru,77.590082,12.9767936
469,,,
470,Surat India,72.9544157804841,21.19177615
471,On your Smartphone Smart TV,,
472,Mumbai India,72.878176,19.0785451
473,India,78.6677428,22.3511148
474,London England,-0.12765,51.5073359
475,Istanbul,28.9662187,41.0091982
476,India,78.6677428,22.3511148
477,,,
478,Mumbai India,72.878176,19.0785451
479,India,78.6677428,22.3511148
480,,,
481,Ventura CA,-119.0779359,34.4458248
482,Hyderabad,78.46106473453146,17.38878595
483,United Kingdom,-3.2765753,54.7023545
484,Mumbai,72.878176,19.0785451
485,,,
486,Hungary,19.5060937,47.1817585
487,India,78.6677428,22.3511148
488,India,78.6677428,22.3511148
489,,,
490,Tannersville PA USA,-75.3057387,41.0400917
491,,,
492,,,
493,US Europe and the Caribbean,,
494,Manhattan NY,-73.9598939,40.7896239
495,,,
496,Virginia,-78.4927721,37.1232245
497,Chicago IL,-87.6244212,41.8755616
498,Atlanta GA,-84.3902644,33.7489924
499,Sarasota,-82.5308545,27.3365805
500,Nationwide,-1.776962348126316,51.5382464
501,Oregon Portland Fleet St,,
502,Orlando FL,-81.3790304,28.5421109
503,San Jose CA,-121.890591,37.3361663
504,,,
505,,,
506,,,
507,India,78.6677428,22.3511148
508,,,
509,Worldwide,-2.2434612,53.5120412
510,,,
511,,,
512,Evergreen CO,121.08722665400178,14.30972315
513,,,
514,,,
515,MI,-100.445882,39.7837304
516,LA Atlanta,-75.6779851,38.708725
517,California Texas Virginia +,,
518,Tyler Texas,-95.3010624,32.3512601
519,Wall Street,-74.0088308,40.7060194
520,Toronto Ontario,-79.3839347,43.6534817
521,,,
522,Analog Digital Space,,
523,United States,-100.445882,39.7837304
524,Centennial CO,-104.8769227,39.579155
525,,,
526,LA Near UCLA 3104434277,,
527,,,
528,,,
529,Florida USA,-81.4639835,27.7567667
530,,,
531,Singapore,103.8194992,1.357107
532,,,
533,Colombia,-72.9088133,4.099917
534,,,
535,,,
536,,,
537,,,
538,,,
539,,,
540,,,
541,,,
542,,,
543,,,
544,,,
545,,,
546,,,
547,,,
548,,,
549,,,
550,,,
551,,,
552,,,
553,,,
554,,,
555,,,
556,,,
557,,,
558,,,
559,,,
560,,,
561,,,
562,,,
563,,,
564,,,
565,,,
566,,,
567,Global,-79.34914879325001,43.7283874
568,Mumbai,72.878176,19.0785451
569,USA,-100.445882,39.7837304
570,India,78.6677428,22.3511148
571,Gujarat India,71.745261,22.3850051
572,Bengaluru India,77.590082,12.9767936
573,,,
574,India,78.6677428,22.3511148
575,Mumbai,72.878176,19.0785451
576,India,78.6677428,22.3511148
577,New York Metro,121.1006346,14.6131566
578,NYC altmanecontwitternet,,
579,New York NY USA,-74.0060152,40.7127281
580,,,
581,San Francisco CA,-122.419906,37.7790262
582,Toronto Ontario,-79.3839347,43.6534817
583,,,
584,Milton Ontario Canada,-79.882817,43.513671
585,Dallas TX,-96.7968559,32.7762719
586,Oregon Portland Fleet St,,
587,HyderabadINDIA,,
588,,,
589,,,
590,,,
591,Uruguay,-56.0201525,-32.8755548
592,New Delhi,77.2090057,28.6138954
593,,,
594,New York London Tokyo,,
595,Plymouth MI,-93.46651,45.0065149
596,Boulder CO,-105.3632079,40.102555
597,,,
598,LA Atlanta,-75.6779851,38.708725
599,,,
600,,,
601,,,
602,,,
603,,,
604,,,
605,Reston VA,-77.34188283719988,38.955696
606,,,
607,MI,-100.445882,39.7837304
608,Sacramento CA,-121.493895,38.5810606
609,US Europe and the Caribbean,,
610,Wilmington NC,-77.9447107,34.2257282
611,Dallas,-96.7968559,32.7762719
612,,,
613,Multiple,-74.5913361,5.9757518
614,Indianapolis IN,-86.1583502,39.7683331
615,Palo Alto California,-122.1598465,37.4443293
616,Thiruvanathapuramkerala Indi,,
617,Midwest,-106.280075,43.411391
618,Washington DC,-77.0365427,38.8950368
619,deutscher Sprachraum,,
620,deutscher Sprachraum,,
